141;PU013b;L'enlèvement ne peut PAS être programmé. La demande d'enlèvement doit être effectuée au moins 1 heure avant les heures de fermeture.
142;PU013c;L'heure d'enlèvement doit être supérieur à l'heure actuelle
143;PU014;Le(s) colis dépasse(nt) la limite de poids ou de taille habituelle. Si des arrangements spéciaux sont nécessaires, DHL contactera par téléphone la personne que vous avez spécifiée.
144;PU015;L'enlèvement ne peut PAS être programmé. Impossible de traiter la demande à cause du statut de crédit du No de compte. Pour obtenir de l'aide concernant les enlèvements, veuillez contacter votre Service Clients DHL
145;PU016;L'enlèvement ne peut PAS être programmé. Le lieu de l'enlèvement se situe en dehors du territoire continental des États-Unis. Pour obtenir de l'aide, veuillez contacter votre Service clients DHL.
146;PU017a;L'enlèvement ne peut PAS être programmé. Informations d'enregistrement manquantes ou invalides. Pour obtenir de l'aide, appelez notre support technique.
147;PU017b;L'enlèvement ne peut PAS être programmé. Impossible de traiter votre transaction.  Pour obtenir de l'aide, veuillez contacter notre support technique.
148;PU018;Service d'enlèvement actuellement indisponible. Veuillez réessayer ultérieurement. Si ce problème persiste, veuillez contacter notre support technique
149;PU019;L'enlèvement ne peut PAS être programmé. Impossible de programmer un enlèvement pour le compte. Pour obtenir de l'aide concernant les enlèvements, veuillez contacter votre Service Clients.
150;PU020a;L'enlèvement ne peut PAS être programmé. Impossible de programmer un enlèvement pour le compte. Pour obtenir de l'aide concernant les enlèvements, veuillez contacter votre Service Clients.
151;PU020b;L'enlèvement ne peut PAS être programmé. Impossible de programmer un enlèvement pour le compte. Pour obtenir de l'aide concernant les enlèvements, veuillez contacter votre Service Clients.
152;PU021;IMPORTANT! Pour des raisons de sécurité FAA, vos colis sont susceptibles d'être vérifiés par un agent DHL
153;PU022;L'enlèvement ne peut PAS être modifié, veuillez contacter votre Service Clients DHL
154;PU023;[PU023] Le service d'enlèvement n'est pas disponible pour cette agence, veuillez contacter notre Service Clients.
155;PU030;Demande d'enlèvement en même temps ou avant l'heure de fermeture.
156;PU031;Le créneau ouvrable doit être au même moment ou avant la fermeture
157;PU032;Le créneau ouvrable doit être avant la fermeture
158;PU033;Demande d'enlèvement avant l'heure de fermeture.
159;PU034;Demande d'enlèvement en même temps ou avant l'heure d'enlèvement
160;PU035;"Le créneau ouvrable doit être au même moment ou avant le ""EARLIEST TIME FROM"""
161;PU100;L'enlèvement n'a PAS été modifié. Impossible de vérifier les informations d'enlèvement. Veuillez contacter votre Service Clients DHL.
162;PU100a;L'enlèvement n'a PAS été modifié. Le système est momentanément indisponible. Veuillez réessayer plus tard. Si le problème persiste, merci de contacter votre Service Clients DHL.
163;PU101;L'enlèvement n'a PAS été modifié.  Votre demande d'enlèvement a déjà été traitée. Veuillez contacter votre Service Clients
164;PU102a;Impossible de modifier la demande d'enlèvement ! La demande a déjà été annulée
165;PU102b;Impossible de modifier la demande d'enlèvement ! Cet enlèvement a déjà été modifié. Pour le modifier de nouveau, veuillez appeler votre Service Clients DHL
166;PU102c;L'enlèvement n'a PAS été modifié. L'expédition peut être en cours de traitement et non modifiable. Pour plus d'informations, veuillez contacter votre Service Clients DHL.
167;PU103;Cet enlèvement n'est PAS modifié ! La demande d'enlèvement n'a été effectuée via le service d'enlèvement. Pour modifier votre demande, veuillez contacter votre Service Clients
168;PU104;Demande d'enlèvement NON modifiée. Les informations concernant la demande n'ont pas pu être vérifiées. Pour obtenir de l'aide, veuillez contacter votre Service Clients
169;PU105;Demande d'enlèvement modifiée avec succès. Nouveau numéro de confirmation attribué.
170;PU106;Enlèvement NON modifié. Demande de modification manquante ou invalide. Pour modifier l'enlèvement veuillez contacter votre Service Clients
171;PU200;Enlèvement NON annulé. Impossible de vérifier les informations concernant l'enlèvement. Veuillez contacter votre Service Clients
172;PU200a;L'enlèvement n'a PAS été annulé. Le système est momentanément indisponible. Veuillez réessayer plus tard. Si le problème persiste, merci de contacter votre Service Clients DHL.
173;PU201;L'enlèvement n'a PAS été annulé. Informations d'enlèvement invalides. Pour annuler un enlèvement programmé, veuillez contacter votre Service Clients DHL
174;PU202;L'enlèvement n'a PAS été annulé. Votre demande d'enlèvement a déjà été traitée. Veuillez contacter votre Service Clients
